Wavelength (nm),%T
2000,89.12612152
1996,89.13798523
1992,89.15711212
1988,89.17300415
1984,89.18611908
1980,89.21112823
1976,89.21953583
1972,89.2429657
1968,89.26290894
1964,89.28047943
1960,89.30124664
1956,89.31762695
1952,89.33116913
1948,89.35761261
1944,89.3735199
1940,89.38772583
1936,89.40379333
1932,89.42071533
1928,89.43495178
1924,89.45134735
1920,89.46363831
1916,89.4789505
1912,89.49609375
1908,89.50925446
1904,89.52553558
1900,89.55188751
1896,89.570755
1892,89.58576965
1888,89.60463715
1884,89.61978912
1880,89.63280487
1876,89.63051605
1872,89.6413269
1868,89.66264343
1864,89.67757416
1860,89.68804169
1856,89.69482422
1852,89.70918274
1848,89.72251129
1844,89.73262024
1840,89.73823547
1836,89.75411987
1832,89.77162933
1828,89.78378296
1824,89.79999542
1820,89.81152344
1816,89.83397675
1812,89.8478775
1808,89.86273193
1804,89.87807465
1800,89.89814758
1796,89.91449738
1792,89.929245
1788,89.95079041
1784,89.96700287
1780,89.9850235
1776,90.00839233
1772,90.02039337
1768,90.04725647
1764,90.06040192
1760,90.0839386
1756,90.09583282
1752,90.12127686
1748,90.12745667
1744,90.15449524
1740,90.1740799
1736,90.18405914
1732,90.20825195
1728,90.22153473
1724,90.2375946
1720,90.26040649
1716,90.26806641
1712,90.29301453
1708,90.30220032
1704,90.32558441
1700,90.33678436
1696,90.35171509
1692,90.36615753
1688,90.38155365
1684,90.39655304
1680,90.4103241
1676,90.42517853
1672,90.44023895
1668,90.44763184
1664,90.46705627
1660,90.46958923
1656,90.48888397
1652,90.50185394
1648,90.50731659
1644,90.52340698
1640,90.52626801
1636,90.5414505
1632,90.55137634
1628,90.55332947
1624,90.57102203
1620,90.57090759
1616,90.57985687
1612,90.5844574
1608,90.5943222
1604,90.59472656
1600,90.60005188
1596,90.60452271
1592,90.61119843
1588,90.61334991
1584,90.61746216
1580,90.62381744
1576,90.61678314
1572,90.62708282
1568,90.62928772
1564,90.62215424
1560,90.63519287
1556,90.62644196
1552,90.63789368
1548,90.63414764
1544,90.62414551
1540,90.6333847
1536,90.6200943
1532,90.62824249
1528,90.62343597
1524,90.62159729
1520,90.62166595
1516,90.61508179
1512,90.61219788
1508,90.6083374
1504,90.6060791
1500,90.5973053
1496,90.59126282
1492,90.58013916
1488,90.58116913
1484,90.57007599
1480,90.56014252
1476,90.5504303
1472,90.5432663
1468,90.52817535
1464,90.51563263
1460,90.50127411
1456,90.48005676
1452,90.46896362
1448,90.44983673
1444,90.42547607
1440,90.39506531
1436,90.37211609
1432,90.33856201
1428,90.30163574
1424,90.26727295
1420,90.23423767
1416,90.2117157
1412,90.20530701
1408,90.21809387
1404,90.26173401
1400,90.32469177
1396,90.391716
1392,90.45847321
1388,90.50350189
1384,90.52775574
1380,90.54273224
1376,90.5508194
1372,90.54718781
1368,90.54498291
1364,90.54521942
1360,90.54271698
1356,90.53556061
1352,90.5335083
1348,90.52944946
1344,90.52164459
1340,90.51517487
1336,90.51476288
1332,90.5111084
1328,90.50918579
1324,90.50533295
1320,90.49979401
1316,90.49745178
1312,90.49637604
1308,90.48742676
1304,90.49297333
1300,90.48553467
1296,90.48016357
1292,90.47151184
1288,90.47296906
1284,90.46672058
1280,90.46076202
1276,90.45844269
1272,90.45002747
1268,90.44854736
1264,90.44449615
1260,90.44232941
1256,90.43536377
1252,90.43452454
1248,90.42998505
1244,90.42685699
1240,90.42245483
1236,90.42289734
1232,90.41603088
1228,90.4152298
1224,90.41014099
1220,90.40931702
1216,90.4063797
1212,90.40086365
1208,90.39794159
1204,90.39817047
1200,90.39485168
1196,90.36089325
1192,90.35280609
1188,90.35081482
1184,90.35044861
1180,90.34482574
1176,90.34461975
1172,90.33930969
1168,90.33563995
1164,90.33027649
1160,90.33068085
1156,90.32305908
1152,90.32665253
1148,90.316185
1144,90.31911469
1140,90.31190491
1136,90.30690765
1132,90.30670166
1128,90.30179596
1124,90.30245972
1120,90.29496002
1116,90.29280853
1112,90.2877655
1108,90.28675842
1104,90.28125763
1100,90.28684235
1096,90.27397156
1092,90.27742004
1088,90.27463531
1084,90.26804352
1080,90.26716614
1076,90.26052094
1072,90.26459503
1068,90.25441742
1064,90.25423431
1060,90.25265503
1056,90.25229645
1052,90.24933624
1048,90.24741364
1044,90.24050903
1040,90.24139404
1036,90.23853302
1032,90.23379517
1028,90.23226166
1024,90.22962952
1020,90.22375488
1016,90.22284698
1012,90.22012329
1008,90.21689606
1004,90.21112823
1000,90.21138
996,90.20864868
992,90.20568848
988,90.20181274
984,90.19817352
980,90.19282532
976,90.19139099
972,90.18399048
968,90.18029022
964,90.17297363
960,90.17464447
956,90.17272949
952,90.17037964
948,90.16932678
944,90.16581726
940,90.16758728
936,90.15675354
932,90.15638733
928,90.15042114
924,90.14850616
920,90.14128876
916,90.13883209
912,90.13665009
908,90.13459015
904,90.13144684
900,90.13079071
899,90.16336823
898,90.08879089
897,90.06948853
896,90.14698029
895,90.07007599
894,90.15465546
893,90.04304504
892,90.06386566
891,90.18002319
890,90.06008148
889,90.34173584
888,90.20142365
887,90.23441315
886,89.98180389
885,90.10649109
884,90.23122406
883,90.06581879
882,90.1550827
881,90.07067108
880,90.08834839
879,90.15359497
878,90.02593994
877,90.12315369
876,90.13333893
875,90.20015717
874,90.13221741
873,90.10236359
872,90.16369629
871,90.05258942
870,90.12883759
869,89.98294067
868,90.02648926
867,90.139534
866,90.14324188
865,90.04013824
864,90.05540466
863,90.08494568
862,90.12931824
861,90.11068726
860,90.12884521
859,90.12779999
858,90.03932953
857,90.08392334
856,90.02526093
855,90.08200073
854,90.04507446
853,90.04634857
852,90.06575012
851,90.02822113
850,90.09202576
849,90.0421524
848,90.06706238
847,90.04788971
846,90.02888489
845,90.01830292
844,90.03370667
843,90.01837158
842,89.99667358
841,90.00392914
840,90.03606415
839,89.98423767
838,90.01734924
837,89.99325562
836,89.99953461
835,89.99635315
834,89.99450684
833,90.00222015
832,89.99289703
831,89.9838028
830,90.00706482
829,90.01355743
828,89.97199249
827,89.98000336
826,89.98715973
825,90.00602722
824,89.98220062
823,90.00339508
822,89.99420166
821,89.98616791
820,90.00079346
819,89.97701263
818,89.98986816
817,89.99778748
816,89.99137115
815,89.97338104
814,89.97949219
813,89.97036743
812,89.98371887
811,89.99192047
810,89.96569061
809,89.96398163
808,89.96063232
807,89.96635437
806,89.96954346
805,89.94801331
804,89.95546722
803,89.95597076
802,89.9464798
801,89.9500885
800,89.93628693
799,89.93609619
798,89.93147278
797,89.92129517
796,89.91751099
795,89.92758179
794,89.92131042
793,89.91732788
792,89.90924072
791,89.89697266
790,89.87794495
789,89.89311981
788,89.88633728
787,89.87795258
786,89.85112
785,89.85894775
784,89.83190155
783,89.83831024
782,89.83315277
781,89.80856323
780,89.80142212
779,89.79916382
778,89.7771759
777,89.76132965
776,89.75528717
775,89.74591827
774,89.73109436
773,89.70779419
772,89.69168091
771,89.68478394
770,89.65306854
769,89.63140106
768,89.61473846
767,89.59406281
766,89.56980896
765,89.52506256
764,89.49966431
763,89.46763611
762,89.42621613
761,89.37619019
760,89.33618927
759,89.30187988
758,89.23934937
757,89.18706512
756,89.1212616
755,89.05845642
754,88.97570038
753,88.90153503
752,88.81481171
751,88.70276642
750,88.60510254
749,88.47736359
748,88.34651184
747,88.20147705
746,88.04271698
745,87.85787201
744,87.66500854
743,87.43649292
742,87.18955231
741,86.91786194
740,86.61231995
739,86.29244232
738,85.90320587
737,85.49006653
736,85.02684021
735,84.49802399
734,83.93273926
733,83.29400635
732,82.57515717
731,81.76104736
730,80.87644196
729,79.88180542
728,78.78425598
727,77.55262756
726,76.17227173
725,74.66374969
724,73.01448059
723,71.16230774
722,69.14312744
721,66.96507263
720,64.55335236
719,61.9727478
718,59.19686127
717,56.24211502
716,53.12065506
715,49.835392
714,46.41830063
713,42.92010498
712,39.36149979
711,35.74770355
710,32.14422607
709,28.63744164
708,25.24237061
707,21.95984459
706,18.896595
705,16.08681679
704,13.49697113
703,11.18520355
702,9.161581039
701,7.413631439
700,5.918620586
699,4.679115295
698,3.657105923
697,2.83185792
696,2.171927691
695,1.654116035
694,1.25097692
693,0.944114208
692,0.707842886
691,0.528049707
690,0.3949911
689,0.295711517
688,0.220640242
687,0.165355012
686,0.12430694
685,0.093621939
684,0.070638649
683,0.053745985
682,0.041044191
681,0.031580683
680,0.02399933
679,0.018574936
678,0.014453214
677,0.011057645
676,0.008725475
675,0.006738221
674,0.005251635
673,0.00373285
672,0.003046291
671,0.002172441
670,0.001896419
669,0.001241672
668,0.001200944
667,0.000772656
666,0.000638494
665,0.000351263
664,0.00029432
663,0.000244043
662,9.15E-05
661,0.000291478
660,6.93E-05
659,1.49E-05
658,0.000214959
657,-9.13E-05
656,0.000120488
655,7.70E-05
654,-7.07E-05
653,-0.000214297
652,0.000115797
651,6.97E-06
650,-4.78E-05
649,3.35E-05
648,4.31E-05
647,9.24E-05
646,-0.000115531
645,-0.00018569
644,-0.000126541
643,-2.35E-05
642,-8.29E-05
641,-0.000146519
640,-3.57E-06
639,-0.000117793
638,-4.71E-05
637,-0.000133067
636,8.89E-05
635,-0.000119335
634,-0.000206322
633,-0.000130484
632,-0.00014648
631,-0.000139322
630,-0.000183826
629,-0.000126914
628,-0.000138934
627,-9.29E-05
626,0.00010254
